                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.0426,                0.63284,                 1.2056,                0.80288,                0.73765,                0.78283,                0.47148,                 1.5267,                0.95388,                 1.6441,               0.002278,               0.002278,               0.002278
                     81,                 1.0333,                0.62515,                 1.2019,                0.81503,                 0.7242,                0.78208,                0.47302,                 1.5309,                  0.938,                 1.6477,               0.002179,               0.002179,               0.002179
                     82,                  1.013,                 0.6129,                 1.1893,                0.80884,                0.73461,                0.78097,                0.47335,                 1.5183,                0.93332,                 1.6383,                0.00208,                0.00208,                0.00208
                     83,                 1.0133,                0.60713,                 1.1865,                0.81229,                 0.7392,                0.78142,                0.47391,                 1.5113,                0.92559,                 1.6325,               0.001981,               0.001981,               0.001981
                     84,                 0.9965,                0.59901,                  1.182,                0.80691,                 0.7352,                0.78415,                0.47596,                  1.503,                0.92387,                 1.6211,               0.001882,               0.001882,               0.001882
                     85,                0.99507,                0.58973,                 1.1765,                0.80148,                0.73207,                0.77947,                0.47577,                 1.5066,                0.92753,                 1.6282,               0.001783,               0.001783,               0.001783
                     86,                0.98275,                0.58303,                 1.1696,                0.79047,                0.74306,                0.77895,                0.47467,                 1.5024,                0.92635,                  1.627,               0.001684,               0.001684,               0.001684
                     87,                0.97257,                0.58925,                 1.1626,                0.80601,                0.72775,                0.77933,                 0.4747,                 1.5044,                0.92398,                 1.6338,               0.001585,               0.001585,               0.001585
                     88,                0.97665,                0.58188,                  1.167,                0.82124,                0.72316,                0.77876,                0.47458,                 1.5028,                0.92202,                 1.6362,               0.001486,               0.001486,               0.001486
                     89,                0.96289,                0.56813,                 1.1555,                0.81697,                0.72994,                0.78199,                0.47509,                 1.5033,                0.92304,                 1.6416,               0.001387,               0.001387,               0.001387
                     90,                0.95229,                0.56543,                 1.1557,                 0.8181,                0.72875,                0.78141,                0.47714,                 1.5083,                0.92625,                 1.6516,               0.001288,               0.001288,               0.001288
                     91,                0.91475,                0.47957,                 1.1306,                0.80512,                0.73317,                0.78226,                0.47702,                 1.5085,                0.92155,                 1.6532,               0.001189,               0.001189,               0.001189
                     92,                0.88781,                0.46014,                 1.1157,                0.80436,                  0.736,                0.78164,                0.47679,                 1.5142,                0.91977,                 1.6649,                0.00109,                0.00109,                0.00109
                     93,                0.87657,                0.45437,                 1.1151,                0.81525,                0.72863,                0.78359,                0.47792,                 1.5208,                0.92384,                 1.6747,               0.000991,               0.000991,               0.000991
                     94,                0.85913,                0.44206,                 1.1018,                0.82072,                0.72531,                0.78395,                 0.4779,                 1.5268,                0.93184,                 1.6851,               0.000892,               0.000892,               0.000892
                     95,                0.85358,                0.43292,                 1.0906,                0.81824,                0.72598,                0.77896,                0.47528,                 1.5307,                0.93158,                 1.6924,               0.000793,               0.000793,               0.000793
                     96,                0.84452,                0.43245,                 1.0855,                0.80716,                0.72685,                0.77895,                0.47417,                 1.5282,                0.93252,                 1.6936,               0.000694,               0.000694,               0.000694
                     97,                0.83605,                0.42259,                  1.079,                0.80164,                0.73279,                0.78182,                0.47507,                 1.5268,                0.93324,                 1.6946,               0.000595,               0.000595,               0.000595
                     98,                0.82383,                0.41442,                 1.0745,                0.81447,                0.72489,                0.78311,                 0.4744,                 1.5287,                0.93142,                 1.6979,               0.000496,               0.000496,               0.000496
                     99,                0.81934,                0.41017,                 1.0734,                0.81185,                0.72994,                0.78336,                  0.476,                 1.5289,                0.93141,                 1.7016,               0.000397,               0.000397,               0.000397
                    100,                0.81129,                 0.4084,                 1.0717,                0.79704,                0.74238,                0.78796,                 0.4769,                 1.5308,                0.93141,                  1.705,               0.000298,               0.000298,               0.000298
